country_iso_code,country_name,state_name,state_code
US,United States,California,CA
US,United States,New York,NY
US,United States,Texas,TX
US,United States,Washington,WA
CA,Canada,Ontario,ON
CA,Canada,Quebec,QC
CA,Canada,British Columbia,BC
AU,Australia,New South Wales,NSW
AU,Australia,Victoria,VIC
PH,Philippines,Metro Manila,NCR
PH,Philippines,Cebu,CEB
GB,United Kingdom,England,ENG
GB,United Kingdom,Scotland,SCT
IN,India,Maharashtra,MH
IN,India,Karnataka,KA
NG,Nigeria,Lagos,LA
NG,Nigeria,Federal Capital Territory,FCT
ZA,South Africa,Gauteng,GT
BR,Brazil,São Paulo,SP
BR,Brazil,Rio de Janeiro,RJ
